Transaction_ID,Date,Country,Product_ID,Product_Name,Category,Price_per_Unit,Quantity_Purchased,Cost_Price,Discount_Applied,Payment_Method,Customer_Age_Group,Customer_Gender,Store_Location,Sales_Rep
47ca8671-6334-4106-8243-a13903dafce4,2025-04-04,UK,9953143a-07ad-4c8a-8ebe-b087671656fb,Training,Home & Kitchen,442.56,8,352.47,24.83,Cash,Adult,Other,Birmingham,Dr. Vanessa Mason
ddc44ded-92f8-4517-95ac-b646370f7fd4,2025-11-10,UK,0b97ec91-c491-48c2-b6b5-43f4859f4fa5,Security,Clothing,172.78,3,149.23,12.7,Mobile Payment,Senior,Other,Manchester,Michelle Maxwell
7926a938-8170-4a2e-a008-a3c16f2ca81b,2025-06-06,UK,cf175522-d934-423c-a5bb-6979bb19fb4e,Present,Beauty,417.79,1,352.78,20.8,Mobile Payment,Senior,Male,London,Deborah Carr
cb004d53-5e28-43bb-9492-4a713e33fc07,2025-12-01,UK,2cffa35e-02f5-4c69-8e5d-1a13e9391e5a,Sing,Clothing,218.07,5,158.43,15.35,Credit Card,Senior,Female,London,Michael Ramos
22f0285c-a238-413d-9cf3-81f82e1cb801,2025-09-08,UK,d45d4d17-50b2-4788-b83f-04c0bb867da4,Already,Electronics,93.97,10,62.71,2.43,Credit Card,Adult,Male,Birmingham,Jennifer Caldwell
0615bf76-d447-4afd-b8a5-5c19a9b31d7f,2025-03-02,UK,6e881cbe-9855-4b90-81a4-4fd448a6fe85,Indicate,Toys,415.75,5,274.3,6.09,Credit Card,Adult,Male,Manchester,Steven Davis
eab53371-7246-4648-94bd-5d2a5924813e,2025-09-08,UK,41c096ba-2a86-40d4-8fb2-03e8464430cb,Physical,Home & Kitchen,271.99,10,205.94,21.45,Cash,Adult,Female,Manchester,Krista Robinson
c11d60a5-ca1a-4a0a-9396-fc436d42598d,2025-04-06,UK,2740ec6e-6f34-46cf-81a4-c678c4f31d7a,Church,Electronics,457.88,10,387.43,12.69,Cash,Senior,Female,Birmingham,Anthony Stephens
1e8426ab-0146-409d-b35e-68cfd3c3d451,2025-03-02,UK,c31b8ba8-77eb-4abc-80d6-585259536592,Later,Electronics,22.38,7,14.74,0.9,Cash,Adult,Female,London,Isaac Barber
b6ffb67e-5ee8-4eee-a047-59718f88a367,2025-06-01,UK,eb5cb2ef-2d28-4140-ab49-61272a89dae1,Shake,Home & Kitchen,65.69,8,47.68,3.03,Credit Card,Young,Other,London,Michelle Flores
83a6d2ad-3841-4254-8c66-7ea7a80cc8a4,2025-06-06,UK,f02d63e2-5540-4817-8cd5-55b8b50a494a,Ball,Home & Kitchen,329.71,3,277.44,62.74,Credit Card,Adult,Female,Birmingham,Angela Trevino
a4bcfd90-eee4-454f-9056-58128bac1997,2025-11-10,UK,5e94be71-99ac-43d1-9313-83efef79e332,Animal,Toys,113.49,4,100.45,20.76,Credit Card,Senior,Other,Manchester,Elizabeth Ayala
40a107d4-2317-4f86-8faf-32331562b77f,2025-04-02,UK,6e694e40-3b72-42b8-bfef-01e0285370b0,Sometimes,Clothing,75.16,7,61.73,8.69,Cash,Adult,Male,Birmingham,David Allen
f44b3745-145b-4e77-ac87-2ba7c7425aaa,2025-07-07,UK,2ad6af0d-81db-4e14-9a67-fa568e4a77a8,Agree,Sports,138.77,6,110.64,12.48,Cash,Adult,Female,Birmingham,Holly Casey
6c498684-6499-4d95-8c38-6d61048a048b,2025-02-01,UK,7cd57276-1aad-4695-b621-ac5ea6a39207,Official,Beauty,84.9,2,57.84,14.1,Mobile Payment,Adult,Female,Birmingham,Louis Gutierrez
48de47f7-bd5a-4022-af7d-0ed0ead2871e,2025-08-07,UK,354c6e52-618e-4933-bce2-be7c7d968be2,Yeah,Toys,389.64,3,347.89,38.58,Mobile Payment,Young,Male,Birmingham,Brooke Jones DDS
8dee111d-6c17-4f09-9098-bd65abb4f661,2025-07-07,UK,d8a8a390-e8b4-4e5f-b581-c09827ebda7a,Win,Clothing,466.96,9,411.56,86.76,Mobile Payment,Adult,Male,London,Nicole Brewer
35583038-4d73-4caa-b072-4500fb8faf43,2025-05-02,UK,f78281f0-5220-4397-8f72-9dfca6ff1a9f,Member,Electronics,179.46,2,143.67,9,Credit Card,Senior,Female,London,David Brewer
5bc582ae-0439-458b-8129-463c3dfd696b,2025-09-01,UK,923badba-dbc3-483f-b381-897469a52613,Both,Electronics,418.82,6,365.19,18.96,Credit Card,Senior,Female,London,Justin Fields
1f696f93-d2e3-46e8-9012-14f58e92ecd8,2025-07-02,UK,52c0fc57-26c4-4b64-9640-517c327323c2,Plan,Clothing,12.2,3,10.2,1.74,Cash,Young,Other,Birmingham,Lauren Cruz
5fa8748b-0949-4f3a-b406-07d8ee1486fe,2025-07-01,UK,73d54ee2-4859-47b7-86dc-76e8711a2b83,Rate,Toys,185.74,8,126.67,23.26,Credit Card,Young,Male,Manchester,Heather Phillips
d4ac001d-de3b-4309-9294-792e76fd01c1,2025-03-02,UK,e7ca105b-35a0-4444-b817-131447218dae,Eat,Beauty,74.85,7,52.5,13.09,Credit Card,Adult,Female,Birmingham,Michelle Molina
059460bb-8305-4cf2-a410-3942755758d7,2025-09-01,UK,63393840-110f-4332-967d-ca7ccd45df57,Better,Toys,203.88,6,157.11,27.27,Cash,Young,Male,Manchester,Stephanie Rodriguez
b33687ff-95ec-4dc7-865d-f8f852018dfe,2025-02-01,UK,ad6cbf6c-07a4-49bb-87e4-07195be5d0ca,Top,Home & Kitchen,460.62,9,375.97,76.1,Cash,Adult,Female,London,Kylie James
aa22d5dd-ae17-442f-b0d7-11a5fdde263f,2025-11-01,UK,51e0af54-653c-4bbc-baad-8684f7956586,Job,Electronics,226.13,8,154.18,10.66,Mobile Payment,Senior,Male,Birmingham,Cheryl Evans
fcb0f28f-049d-46d8-bf94-3663a5055064,2025-11-02,UK,e9ce1354-ccef-4f1a-9fd1-2673699b38af,State,Home & Kitchen,455.18,2,365.66,51.25,Cash,Adult,Male,Birmingham,Jeremiah Brock
79acc6e0-10b8-4e7c-bd34-d19aba489602,2025-11-02,UK,d6328bb6-94c2-445e-a61b-c9cf156a602f,Dinner,Sports,365.8,1,326.7,55.52,Cash,Young,Other,Manchester,Heather Jenkins
5833fbb9-902a-4f61-80e1-4d88ab583193,2025-01-02,UK,34dd086a-85c6-4820-bbeb-c68caccb5f7e,Seem,Sports,84.65,10,72.62,15.25,Cash,Senior,Male,London,Steven Stephens
bdd0f925-f409-47d5-bb97-3a141c97e59f,2025-12-01,UK,30edb621-1eef-408c-ba8e-6020bca32788,Word,Beauty,252.22,3,210.76,9.11,Credit Card,Adult,Male,Manchester,Terry Walker
1b81e630-3c96-4fad-a2ad-ed644083dc26,2025-09-02,UK,0f37b4b8-5e89-4c27-aed9-b1fdd1759a77,About,Sports,445.51,6,364.15,45.09,Cash,Senior,Male,Manchester,Jacob Dennis
e914cb9c-25c7-4b07-89f0-7332bdd4148d,2025-07-02,UK,9740eb54-5af0-494d-9f12-781ace8a3954,Message,Home & Kitchen,433.83,6,379.96,79.81,Credit Card,Adult,Male,Birmingham,Richard Fields
42a1a3cd-68f9-4b27-b213-88d69d875a30,2025-02-01,UK,3ce38fdd-7d24-44b4-a66a-ce249c5feffb,Put,Home & Kitchen,225.6,4,164.72,24.22,Cash,Young,Female,London,Marc Whitaker
587af47f-c2f8-4374-a4be-93dbe1f5adaa,2025-08-01,UK,8354d78b-255a-49fb-ad54-1cb7d20e45d5,Song,Home & Kitchen,291.07,10,235.32,50.42,Cash,Adult,Male,Birmingham,Erin Rodriguez
1692f195-148e-4990-93d5-94c7a1ca91e5,2025-03-02,UK,f3211857-a5c7-46de-bff9-3a3a1a4c6329,Person,Toys,383.41,7,338.09,34.73,Credit Card,Adult,Other,Birmingham,Dr. Anthony Nelson
99857c07-afaa-4ebc-ba63-60b4a03e2031,2025-06-02,UK,90e0228c-b7c3-430f-860c-6d53c1031127,Foot,Toys,147.77,8,126.11,20.16,Credit Card,Adult,Other,London,Monique Mosley
2b9d4899-fe38-426a-9577-b2215bbc75eb,2025-09-01,UK,21bd3ea4-e6b1-4067-936a-3486a7e93353,Beat,Sports,253.26,5,173.55,1.7,Mobile Payment,Senior,Male,London,Mary Riley
26836f48-3e93-431a-a489-de8408327827,2025-10-02,UK,e58f6bfe-2eef-4d2f-aa30-9a49927c5e5b,Shake,Beauty,418.79,9,343.43,41.39,Mobile Payment,Young,Male,Manchester,Kevin Ayers
2b16cede-2b38-49f6-b75f-0a437fdc3150,2025-05-01,UK,69b64ba5-802a-47e7-8cd2-e11c12591604,Particularly,Electronics,322.27,10,215.49,58.26,Cash,Young,Male,London,David Hughes
15dc113d-94ee-456f-b718-414c00d24cff,2025-09-02,UK,c197d7ec-f9be-4282-b712-03a31f8556c9,Keep,Toys,134.76,4,109.6,1.25,Credit Card,Adult,Male,Birmingham,Dustin Rodriguez
e360ba18-69dd-43ad-b2f3-e392e4599c19,2025-02-02,UK,123f5b7c-74fc-4a6b-9b4d-ce220d1fc6bd,Send,Sports,301.19,6,259.68,38.44,Mobile Payment,Adult,Female,London,Ryan Williams
857b89f3-d5cf-4162-a401-c80b5dc7c232,2025-04-01,UK,7cde39c5-ea3f-4e25-b257-ddba4e931306,Home,Home & Kitchen,277.36,8,185.87,38.55,Credit Card,Senior,Other,Birmingham,Elizabeth Knight
3ab0bbfd-9124-45ca-811c-82657b7e240c,2025-12-01,UK,f6144465-901c-419e-855f-7db0fbf45ea4,Main,Toys,443.53,9,361.87,29.35,Mobile Payment,Young,Male,Manchester,Patricia Ward
f077f06f-9927-4fb0-b709-6479712857f0,2025-03-02,UK,4944672d-ddc7-4c86-a9c8-697029b608b2,Get,Toys,472.66,4,358.99,11.42,Mobile Payment,Senior,Other,Manchester,Scott Anderson
c0094655-e26b-4d2e-a943-4be556432cab,2025-09-01,UK,3dd1d0d0-24e9-422e-9358-3b329fe35fd8,Wife,Home & Kitchen,22.49,1,14.87,2.18,Mobile Payment,Senior,Female,Birmingham,Katie Perry
7d93758f-0edc-407c-82b1-7db7b1d16f40,2025-08-02,UK,58b0134d-f403-4c8d-9200-99d0077798e7,Conference,Home & Kitchen,294.57,6,178.22,41.97,Credit Card,Adult,Male,Birmingham,Melanie Carpenter
8dc8ffc7-df2f-46ac-b9e9-4be1ce64bc4e,2025-11-01,UK,80605dc2-c97a-4872-b67e-af6588c544ce,Agree,Beauty,214.78,4,176.71,3.04,Cash,Young,Other,Manchester,Jessica Anderson
85e10515-b91d-4652-b8b1-5c2ffd7ff1da,2025-06-01,UK,b5d1ab17-fd30-4456-835e-720902a397ec,Environment,Home & Kitchen,20.42,7,12.27,3.61,Credit Card,Senior,Female,London,Valerie Hull
599dd04f-60c7-4cb6-beb4-a9523efe391d,2025-09-02,UK,c19fc931-2937-4db6-8fac-a737f72b59f9,Through,Home & Kitchen,431.83,4,338.42,85.93,Mobile Payment,Adult,Other,Birmingham,Troy Wright
7e0b9065-2ed0-49b7-ada1-8182307359b9,2025-07-01,UK,6e07fbdf-f38d-4cdb-bacb-f6a4a58e016b,Type,Toys,479.07,9,322.81,42.13,Credit Card,Senior,Male,Birmingham,Cheyenne Page
6a7374c8-77f2-4245-828d-f2446efb72b6,2025-03-02,UK,1771ea8c-6ebf-4f42-893e-e07c3255cd37,Sort,Electronics,39.33,1,34.51,4.13,Mobile Payment,Young,Other,Manchester,Rebecca Collins
71b12373-f991-4157-b88a-ff2b8e527e0a,2025-09-01,UK,adfc8d6e-a969-4735-9a35-aa6c4c542de6,Act,Clothing,326.16,9,260,30.06,Credit Card,Adult,Male,Birmingham,Meredith Hanson
